Manuscript_number,DOI,funder,name,fundref
es-2022-05044r,10.1021/acs.est.2c05044,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-05047u,10.1021/acs.est.2c05047,grid.454831.f,Science and Technology Development Fund,
es-2022-05047u,10.1021/acs.est.2c05047,grid.452927.f,Science and Technology Commission of Shanghai Municipality,
es-2022-05047u,10.1021/acs.est.2c05047,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05052u,10.1021/acs.est.2c05052,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05052u,10.1021/acs.est.2c05052,grid.454772.7,Education Department of Hunan Province,
es-2022-05052u,10.1021/acs.est.2c05052,grid.452913.8,Ministry of Science and ICT,501100003621
es-2022-05052u,10.1021/acs.est.2c05052,grid.452896.4,European Research Council,
es-2022-05052u,10.1021/acs.est.2c05052,grid.9227.e,Chinese Academy of Sciences,501100002367
es-2022-05052u,10.1021/acs.est.2c05052,grid.410885.0,Korea Basic Science Institute,
es-2022-05052u,10.1021/acs.est.2c05052,grid.436415.1,National Research Foundation of Korea,501100003725
es-2022-050639,10.1021/acs.est.2c05063,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05165f,10.1021/acs.est.2c05165,grid.452941.f,China Scholarship Council,501100004543
es-2022-05165f,10.1021/acs.est.2c05165,grid.417796.a,Corning (United States),
es-2022-051694,10.1021/acs.est.2c05169,grid.457810.f,Directorate for Engineering,
es-2022-051694,10.1021/acs.est.2c05169,grid.280664.e,National Institute of Environmental Health Sciences,
es-2022-05171b,10.1021/acs.est.2c05171,,,
es-2022-05192w,10.1021/acs.est.2c05192,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05192w,10.1021/acs.est.2c05192,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-05194r,10.1021/acs.est.2c05194,,,
es-2022-05197u,10.1021/acs.est.2c05197,grid.238252.c,National Aeronautics and Space Administration,
es-2022-05197u,10.1021/acs.est.2c05197,grid.418698.a,Environmental Protection Agency,100000139
es-2022-05197u,10.1021/acs.est.2c05197,grid.280664.e,National Institute of Environmental Health Sciences,
es-2022-05218j,10.1021/acs.est.2c05218,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
es-2022-05218j,10.1021/acs.est.2c05218,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05228e,10.1021/acs.est.2c05228,grid.452901.b,Ministry of Education,501100002701
es-2022-05228e,10.1021/acs.est.2c05228,grid.452913.8,Ministry of Science and ICT,501100003621
es-2022-05231s,,,,
es-2022-05234x,10.1021/acs.est.2c05234,grid.419696.5,National Natural Science Foundation of China,501100001809
es-2022-05234x,10.1021/acs.est.2c05234,grid.418698.a,Environmental Protection Agency,100000139
es-2022-05253t,10.1021/acs.est.2c05253,grid.424020.0,Ministry of Science and Technology of the People's Republic of China,501100002855
